         178517894 function calls (177366111 primitive calls) in 57.099 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
32024630/32024622    4.184    0.000    7.044    0.000 {built-in method builtins.isinstance}
        1    3.328    3.328    3.590    3.590 {method 'mainloop' of '_tkinter.tkapp' objects}
 14081837    2.147    0.000    2.854    0.000 generic.py:10(_check)
   689408    1.856    0.000    2.275    0.000 datetimes.py:476(<lambda>)
  6661500    1.837    0.000    2.513    0.000 pickle.py:287(read)
      250    1.791    0.007    8.820    0.035 pickle.py:1184(load)
   731173    1.520    0.000    9.362    0.000 construction.py:390(sanitize_array)
23484156/23431066    1.430    0.000    1.534    0.000 {built-in method builtins.getattr}
1559643/1544822    1.366    0.000    1.400    0.000 {built-in method numpy.array}
   741034    1.332    0.000    9.784    0.000 blocks.py:2655(get_block_type)
  2430202    1.110    0.000    2.837    0.000 common.py:1460(is_extension_array_dtype)
  3259417    1.019    0.000    4.710    0.000 base.py:256(is_dtype)
  2430818    0.972    0.000    1.414    0.000 base.py:413(find)
11645279/10763795    0.926    0.000    1.418    0.000 {built-in method builtins.len}
      659    0.851    0.001   17.833    0.027 managers.py:1715(form_blocks)
   731146    0.813    0.000    3.058    0.000 cast.py:1187(maybe_castable)
   761122    0.772    0.000    2.351    0.000 _dtype.py:321(_name_get)
   705450    0.735    0.000    3.382    0.000 datetimelike.py:530(__getitem__)
  8817936    0.668    0.000    0.668    0.000 {built-in method builtins.issubclass}
   203984    0.636    0.000    0.636    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        7    0.630    0.090    0.899    0.128 {method 'read' of 'pandas._libs.parsers.TextReader' objects}
   705450    0.617    0.000    7.497    0.000 extension.py:214(__getitem__)
826672/797053    0.572    0.000    2.756    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   755290    0.567    0.000    1.084    0.000 common.py:224(is_sparse)
      659    0.557    0.001    9.683    0.015 construction.py:329(_homogenize)
  1734500    0.551    0.000    1.288    0.000 pickle.py:1610(load_binget)
   100250    0.515    0.000    1.320    0.000 numpy_pickle.py:105(read_array)
   695671    0.494    0.000    1.735    0.000 fromnumeric.py:3075(ndim)
      608    0.435    0.001    1.095    0.002 managers.py:1843(_stack_arrays)
   733323    0.394    0.000    0.939    0.000 numerictypes.py:360(issubdtype)
   996213    0.387    0.000    0.714    0.000 common.py:1600(_is_dtype_type)
   821278    0.378    0.000    1.573    0.000 dtypes.py:906(is_dtype)
   795772    0.367    0.000    1.021    0.000 common.py:194(is_object_dtype)
   765342    0.367    0.000    1.478    0.000 dtypes.py:1119(is_dtype)
  1466646    0.355    0.000    0.506    0.000 numerictypes.py:286(issubclass_)
   877442    0.350    0.000    1.767    0.000 common.py:530(is_categorical_dtype)
  6560250    0.341    0.000    0.341    0.000 {method 'read' of '_io.BytesIO' objects}
   761122    0.327    0.000    1.265    0.000 _dtype.py:307(_name_includes_bit_suffix)
   828163    0.322    0.000    1.956    0.000 common.py:456(is_period_dtype)
   775798    0.312    0.000    1.846    0.000 common.py:492(is_interval_dtype)
   784436    0.311    0.000    0.442    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   731161    0.310    0.000    3.484    0.000 construction.py:520(_try_cast)
  4706666    0.300    0.000    0.300    0.000 {method 'append' of 'list' objects}
   152250    0.298    0.000    0.540    0.000 pickle.py:1697(load_build)
   807004    0.296    0.000    1.495    0.000 common.py:381(is_datetime64tz_dtype)
   689408    0.293    0.000    2.767    0.000 indexers.py:298(deprecate_ndim_indexing)
    47600    0.285    0.000    1.190    0.000 _classes.py:905(predict_proba)
    47600    0.277    0.000    0.292    0.000 {method 'predict' of 'sklearn.tree._tree.Tree' objects}
   695671    0.264    0.000    2.480    0.000 <__array_function__ internals>:2(ndim)
    48076    0.261    0.000    3.614    0.000 parallel.py:796(dispatch_one_batch)
   780662    0.257    0.000    1.283    0.000 construction.py:339(extract_array)
1481717/1466904    0.245    0.000    1.563    0.000 _asarray.py:14(asarray)
   708575    0.220    0.000    0.339    0.000 datetimes.py:500(tz)
65008/64987    0.215    0.000    2.386    0.000 series.py:201(__init__)
   151000    0.204    0.000    0.278    0.000 pickle.py:1679(load_setitems)
   697388    0.198    0.000    0.658    0.000 managers.py:1846(_asarray_compat)
   853590    0.167    0.000    0.542    0.000 base.py:567(__len__)
        1    0.164    0.164    0.164    0.164 {built-in method _tkinter.create}
   775617    0.158    0.000    0.158    0.000 {method 'format' of 'str' objects}
   152250    0.155    0.000    2.173    0.000 numpy_pickle.py:321(load_build)
    95208    0.154    0.000    0.275    0.000 functools.py:34(update_wrapper)
   902079    0.152    0.000    0.222    0.000 common.py:180(<lambda>)
     3566    0.146    0.000    0.146    0.000 {pandas._libs.tslib.format_array_from_datetime}
  1256882    0.143    0.000    0.169    0.000 {built-in method builtins.hasattr}
   118195    0.142    0.000    0.386    0.000 generic.py:5141(__setattr__)
    48552    0.141    0.000    0.256    0.000 validation.py:1037(<listcomp>)
   529750    0.137    0.000    0.176    0.000 pickle.py:1641(load_memoize)
   433500    0.135    0.000    0.315    0.000 pickle.py:1281(load_binint1)
17131/10316    0.132    0.000    0.772    0.000 base.py:293(__new__)
   221010    0.125    0.000    0.125    0.000 {method 'view' of 'numpy.ndarray' objects}
   117851    0.118    0.000    0.118    0.000 {built-in method numpy.empty}
   902079    0.116    0.000    0.116    0.000 common.py:178(classes)
    47600    0.114    0.000    1.308    0.000 _forest.py:460(_accumulate_prediction)
    23221    0.112    0.000    0.671    0.000 datetimes.py:1871(sequence_to_dt64ns)
   689408    0.111    0.000    0.111    0.000 datetimes.py:474(_box_func)
    95676    0.106    0.000    0.249    0.000 queue.py:153(get)
   100250    0.104    0.000    1.437    0.000 numpy_pickle.py:169(read)
   785757    0.103    0.000    0.103    0.000 datetimelike.py:1082(freq)
   761122    0.103    0.000    0.103    0.000 _dtype.py:24(_kind_name)
  1020320    0.102    0.000    0.102    0.000 datetimes.py:478(dtype)
   125750    0.101    0.000    0.140    0.000 pickle.py:1508(load_newobj)
   100250    0.099    0.000    0.099    0.000 numpy_pickle.py:116(<listcomp>)
    47600    0.095    0.000    2.125    0.000 parallel.py:759(_dispatch)
   100250    0.093    0.000    0.170    0.000 numpy_pickle_utils.py:186(_read_bytes)
   188879    0.092    0.000    0.310    0.000 _mixins.py:70(shape)
    72427    0.091    0.000    0.227    0.000 blocks.py:124(__init__)
   402254    0.089    0.000    0.089    0.000 {method 'read' of '_io.BufferedReader' objects}
    47600    0.089    0.000    0.274    0.000 _parallel_backends.py:213(get_nested_backend)
