         178517894 function calls (177366111 primitive calls) in 57.099 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   979787    0.086    0.000    0.086    0.000 {method 'endswith' of 'str' objects}
   196398    0.080    0.000    0.122    0.000 series.py:442(name)
    47600    0.079    0.000    1.627    0.000 fixes.py:220(__call__)
   100500    0.075    0.000    0.179    0.000 pickle.py:1233(load_frame)
    70178    0.073    0.000    0.172    0.000 _ufunc_config.py:32(seterr)
   736514    0.072    0.000    0.072    0.000 {pandas._libs.lib.is_integer}
    47600    0.071    0.000    0.091    0.000 parallel.py:350(__call__)
    47600    0.070    0.000    1.836    0.000 parallel.py:258(__call__)
   147717    0.069    0.000    0.139    0.000 {pandas._libs.lib.is_list_like}
    17355    0.069    0.000    0.860    0.000 managers.py:366(apply)
   213865    0.068    0.000    0.191    0.000 datetimelike.py:491(asi8)
    66937    0.068    0.000    0.068    0.000 generic.py:195(__init__)
      606    0.068    0.000    1.253    0.002 managers.py:1827(_multi_blockify)
    95805    0.068    0.000    0.116    0.000 generic.py:5123(__getattr__)
   100250    0.068    0.000    0.068    0.000 {built-in method numpy.frombuffer}
    46342    0.067    0.000    0.315    0.000 printing.py:166(pprint_thing)
    50756    0.067    0.000    0.143    0.000 generic.py:5095(__finalize__)
   695671    0.066    0.000    0.066    0.000 fromnumeric.py:3071(_ndim_dispatcher)
    25000    0.066    0.000    0.066    0.000 {method '__setstate__' of 'sklearn.tree._tree.Tree' objects}
    48552    0.065    0.000    0.161    0.000 parallel.py:76(get_active_backend)
    51500    0.064    0.000    0.205    0.000 pickle.py:1583(load_reduce)
    47600    0.063    0.000    0.173    0.000 queue.py:121(put)
     3564    0.062    0.000    0.589    0.000 format.py:1213(_format_strings)
   133590    0.061    0.000    0.105    0.000 series.py:492(name)
    46342    0.060    0.000    0.072    0.000 printing.py:197(as_escaped_string)
    70178    0.060    0.000    0.066    0.000 _ufunc_config.py:132(geterr)
    61845    0.059    0.000    0.235    0.000 common.py:1330(is_bool_dtype)
     2970    0.059    0.000    0.169    0.000 shape_base.py:267(apply_along_axis)
    43646    0.059    0.000    0.906    0.000 blocks.py:2701(make_block)
492122/445442    0.058    0.000    0.068    0.000 {built-in method builtins.hash}
   204896    0.058    0.000    0.058    0.000 {built-in method builtins.min}
    63174    0.058    0.000    0.135    0.000 config.py:86(_get_single_key)
    23228    0.057    0.000    0.348    0.000 datetimes.py:2085(maybe_convert_dtype)
139065/46365    0.057    0.000    0.088    0.000 typing.py:720(__hash__)
   153250    0.057    0.000    0.066    0.000 pickle.py:1721(load_mark)
   228195    0.057    0.000    0.091    0.000 common.py:1565(_get_dtype)
    80959    0.056    0.000    0.118    0.000 blocks.py:237(mgr_locs)
   153250    0.055    0.000    0.064    0.000 pickle.py:1215(pop_mark)
   244324    0.055    0.000    0.084    0.000 inference.py:322(is_hashable)
        1    0.054    0.054   51.949   51.949 BaseStrategy.py:9(compute_weights)
    48552    0.053    0.000    0.345    0.000 validation.py:977(check_is_fitted)
    95200    0.053    0.000    0.091    0.000 threading.py:341(notify)
  115/112    0.053    0.000    0.150    0.001 {method 'call' of '_tkinter.tkapp' objects}
   501338    0.053    0.000    0.053    0.000 {built-in method sys.intern}
    95200    0.052    0.000    0.103    0.000 _config.py:85(config_context)
     3564    0.052    0.000    1.473    0.000 generic.py:8725(_where)
    67370    0.050    0.000    0.063    0.000 managers.py:1532(__init__)
   151447    0.050    0.000    0.299    0.000 _mixins.py:74(__len__)
    48076    0.049    0.000    0.450    0.000 _forest.py:684(<genexpr>)
     3570    0.049    0.000    0.068    0.000 {pandas._libs.lib.map_infer}
    25500    0.049    0.000    0.077    0.000 base.py:306(__setstate__)
     1929    0.049    0.000   27.990    0.015 frame.py:441(__init__)
    23221    0.049    0.000    0.769    0.000 datetimes.py:299(_from_sequence)
   763084    0.048    0.000    0.048    0.000 {method 'pop' of 'list' objects}
   192445    0.048    0.000    0.222    0.000 datetimelike.py:464(_ndarray)
   513066    0.047    0.000    0.047    0.000 {built-in method builtins.setattr}
    35640    0.045    0.000    0.317    0.000 format.py:1232(_format)
      476    0.044    0.000    0.064    0.000 parallel.py:918(retrieve)
   103396    0.044    0.000    0.113    0.000 base.py:5656(maybe_extract_name)
    79096    0.044    0.000    0.115    0.000 common.py:1296(is_float_dtype)
   100500    0.043    0.000    0.058    0.000 pickle.py:313(load_frame)
    47600    0.042    0.000    0.208    0.000 fixes.py:205(delayed)
    33786    0.041    0.000    0.830    0.000 managers.py:1564(from_array)
   155874    0.041    0.000    0.042    0.000 {built-in method _abc._abc_instancecheck}
    48665    0.041    0.000    0.046    0.000 contextlib.py:82(__init__)
      962    0.041    0.000    0.121    0.000 managers.py:926(fast_xs)
    48552    0.040    0.000    0.066    0.000 _parallel_backends.py:280(__init__)
   697334    0.040    0.000    0.040    0.000 managers.py:1830(<lambda>)
 1249/993    0.039    0.000    0.039    0.000 transforms.py:136(_invalidate_internal)
    31412    0.038    0.000    0.118    0.000 fromnumeric.py:70(_wrapreduction)
      594    0.037    0.000    0.191    0.000 frame.py:2687(transpose)
   129840    0.037    0.000    0.037    0.000 {method 'update' of 'dict' objects}
     3564    0.037    0.000    0.661    0.000 concat.py:295(__init__)
    29214    0.037    0.000    0.091    0.000 datetimes.py:285(_simple_new)
    34029    0.037    0.000    0.044    0.000 series.py:398(_set_axis)
    42827    0.037    0.000    0.049    0.000 datetimes.py:286(_simple_new)
    76500    0.036    0.000    0.084    0.000 pickle.py:1315(load_binfloat)
    49028    0.036    0.000    0.426    0.000 validation.py:59(inner_f)
   374206    0.035    0.000    0.035    0.000 {method 'startswith' of 'str' objects}
     3566    0.035    0.000    0.248    0.000 format.py:1574(_is_dates_only)
      476    0.035    0.000    3.721    0.008 parallel.py:958(__call__)
   143276    0.035    0.000    0.051    0.000 threading.py:246(__enter__)
     4753    0.034    0.000    5.301    0.001 series.py:992(__setitem__)
   207462    0.034    0.000    0.034    0.000 {built-in method __new__ of type object at 0x906780}
    47600    0.034    0.000    0.059    0.000 parallel.py:184(__init__)
   204500    0.034    0.000    0.034    0.000 {built-in method _struct.unpack}
    47600    0.034    0.000    1.980    0.000 _parallel_backends.py:206(apply_async)
   143276    0.034    0.000    0.043    0.000 threading.py:249(__exit__)
    68115    0.034    0.000    0.095    0.000 common.py:696(is_integer_dtype)
    47600    0.034    0.000    0.041    0.000 parallel.py:245(__init__)
     6909    0.033    0.000    0.045    0.000 {pandas._libs.lib.infer_dtype}
      250    0.033    0.000    8.867    0.035 numpy_pickle.py:531(load)
    23204    0.033    0.000    0.898    0.000 datetimes.py:246(__new__)
   155874    0.033    0.000    0.075    0.000 abc.py:96(__instancecheck__)
    48665    0.033    0.000    0.085    0.000 contextlib.py:117(__exit__)
    63174    0.032    0.000    0.043    0.000 config.py:557(_get_root)
    19621    0.032    0.000    0.135    0.000 indexers.py:348(check_array_indexer)
     3024    0.032    0.000    0.806    0.000 managers.py:1162(insert)
   151000    0.032    0.000    0.040    0.000 pickle.py:1452(load_empty_dictionary)
    10508    0.032    0.000    0.302    0.000 array_ops.py:160(arithmetic_op)
    63172    0.032    0.000    0.210    0.000 config.py:104(_get_option)
    11895    0.031    0.000    0.791    0.000 managers.py:1589(get_slice)
     3024    0.031    0.000    0.202    0.000 {pandas._libs.tslibs.parsing.parse_time_string}
    23587    0.031    0.000    0.031    0.000 {method 'copy' of 'numpy.ndarray' objects}
     9563    0.031    0.000    0.138    0.000 missing.py:193(_isna_ndarraylike)
    13740    0.031    0.000    0.957    0.000 series.py:2740(_construct_result)
    58488    0.031    0.000    0.192    0.000 missing.py:130(_isna)
     4634    0.030    0.000    0.229    0.000 array_ops.py:195(comparison_op)
    30555    0.030    0.000    0.047    0.000 numpy_.py:162(__init__)
    47600    0.029    0.000    0.172    0.000 fixes.py:215(__init__)
   126345    0.029    0.000    0.029    0.000 config.py:571(_get_deprecated_option)
    95200    0.029    0.000    0.029    0.000 _config.py:30(set_config)
    15142    0.029    0.000    0.229    0.000 array_ops.py:119(na_arithmetic_op)
106438/103179    0.029    0.000    0.260    0.000 {built-in method builtins.next}
    47600    0.029    0.000    1.656    0.000 parallel.py:262(<listcomp>)
     4158    0.028    0.000    0.481    0.000 managers.py:737(_combine)
     3078    0.028    0.000    0.080    0.000 index_tricks.py:316(__getitem__)
     7128    0.028    0.000    0.159    0.000 concat.py:29(get_dtype_kinds)
     3568    0.028    0.000    0.074    0.000 printing.py:29(adjoin)
46360/46357    0.027    0.000    0.132    0.000 typing.py:255(inner)
     4160    0.027    0.000    0.027    0.000 {method 'sort' of 'numpy.ndarray' objects}
    68430    0.027    0.000    0.048    0.000 {built-in method builtins.max}
    49504    0.026    0.000    0.026    0.000 _parallel_backends.py:34(__init__)
    52973    0.026    0.000    0.224    0.000 {method 'sum' of 'numpy.ndarray' objects}
     3564    0.026    0.000    1.756    0.000 format.py:263(_chk_truncate)
    51500    0.026    0.000    0.026    0.000 pickle.py:1444(load_tuple3)
    15142    0.026    0.000    0.158    0.000 expressions.py:61(_evaluate_standard)
    15198    0.025    0.000    0.037    0.000 base.py:4036(__contains__)
     9074    0.025    0.000    0.059    0.000 _strptime.py:309(_strptime)
     7128    0.025    0.000    0.451    0.000 concat.py:110(concat_compat)
     4158    0.025    0.000    0.025    0.000 {pandas._libs.lib.get_reverse_indexer}
   125750    0.025    0.000    0.034    0.000 pickle.py:1432(load_empty_tuple)
    28781    0.025    0.000    0.092    0.000 blocks.py:256(make_block_same_class)
    48076    0.025    0.000    0.030    0.000 base.py:335(_check_n_features)
   139048    0.024    0.000    0.024    0.000 managers.py:1575(_block)
     3564    0.024    0.000    3.503    0.001 series.py:1309(__repr__)
     1204    0.024    0.000    0.026    0.000 {method 'get_indexer' of 'pandas._libs.index.DatetimeEngine' objects}
    67956    0.024    0.000    0.033    0.000 common.py:422(is_timedelta64_dtype)
   186228    0.024    0.000    0.024    0.000 {pandas._libs.lib.is_scalar}
     2970    0.023    0.000    0.035    0.000 stride_tricks.py:37(as_strided)
    32952    0.023    0.000    0.031    0.000 generic.py:377(_get_axis)
      659    0.023    0.000   17.872    0.027 managers.py:1675(create_block_manager_from_arrays)
    70178    0.023    0.000    0.023    0.000 {built-in method numpy.seterrobj}
    48076    0.023    0.000    0.091    0.000 _classes.py:399(_validate_X_predict)
    95676    0.023    0.000    0.035    0.000 _config.py:14(get_config)
    24049    0.022    0.000    0.102    0.000 common.py:97(is_bool_indexer)
    53958    0.022    0.000    0.031    0.000 common.py:1733(pandas_dtype)
    25140    0.022    0.000    0.104    0.000 fromnumeric.py:2589(amax)
    94134    0.022    0.000    0.032    0.000 common.py:188(<lambda>)
     3564    0.022    0.000    1.564    0.000 format.py:350(to_string)
    95200    0.022    0.000    0.038    0.000 threading.py:261(_is_owned)
    47600    0.022    0.000    0.032    0.000 parallel.py:222(unregister)
    48883    0.021    0.000    0.036    0.000 managers.py:1602(dtype)
    43533    0.021    0.000    0.035    0.000 managers.py:1613(internal_values)
    63982    0.021    0.000    0.048    0.000 common.py:608(is_dtype_equal)
    11895    0.021    0.000    0.919    0.000 series.py:964(_get_values)
    47600    0.021    0.000    0.193    0.000 fixes.py:207(delayed_function)
    46342    0.021    0.000    0.033    0.000 inference.py:360(is_sequence)
     8002    0.021    0.000    0.057    0.000 cast.py:1310(maybe_cast_to_datetime)
    48084    0.020    0.000    0.029    0.000 <frozen importlib._bootstrap>:389(parent)
     9103    0.020    0.000    1.111    0.000 __init__.py:335(wrapper)
    47600    0.020    0.000    1.856    0.000 _parallel_backends.py:569(__init__)
    16042    0.020    0.000    0.082    0.000 datetimelike.py:564(_get_getitem_freq)
     1782    0.020    0.000    0.056    0.000 algorithms.py:1873(diff)
    95676    0.020    0.000    0.029    0.000 queue.py:208(_qsize)
    72427    0.020    0.000    0.020    0.000 blocks.py:135(_check_ndim)
    92704    0.020    0.000    0.029    0.000 typing.py:329(__hash__)
    21460    0.020    0.000    0.041    0.000 managers.py:1553(from_blocks)
     2970    0.020    0.000    0.877    0.000 ewm.py:292(_apply)
    33245    0.020    0.000    0.060    0.000 common.py:566(is_string_dtype)
     1308    0.019    0.000    0.051    0.000 managers.py:238(_rebuild_blknos_and_blklocs)
    13737    0.019    0.000    1.781    0.000 common.py:50(new_method)
     1249    0.019    0.000    0.025    0.000 numeric.py:1113(roll)
   102000    0.019    0.000    0.024    0.000 pickle.py:1262(load_true)
   174384    0.019    0.000    0.019    0.000 blocks.py:233(mgr_locs)
    10696    0.019    0.000    0.882    0.000 indexing.py:1500(_get_slice_axis)
    35264    0.019    0.000    0.090    0.000 <__array_function__ internals>:2(concatenate)
     4165    0.019    0.000    0.222    0.000 generic.py:5905(fillna)
     3024    0.019    0.000    0.081    0.000 _parser.py:672(_parse)
48665/48532    0.019    0.000    0.220    0.000 contextlib.py:108(__enter__)
     3564    0.019    0.000    0.127    0.000 format.py:292(_get_footer)
    38379    0.018    0.000    0.051    0.000 common.py:1541(_is_dtype)
    30555    0.018    0.000    0.087    0.000 series.py:574(array)
     6670    0.018    0.000    3.526    0.001 {method 'get_loc' of 'pandas._libs.index.DatetimeEngine' objects}
     4158    0.018    0.000    0.538    0.000 managers.py:901(to_dict)
    33814    0.018    0.000    0.063    0.000 construction.py:580(is_empty_data)
    63171    0.018    0.000    0.228    0.000 config.py:232(__call__)
     3574    0.018    0.000    0.805    0.000 format.py:1103(format_array)
    35089    0.018    0.000    0.090    0.000 _ufunc_config.py:438(__exit__)
     4158    0.018    0.000    0.044    0.000 rolling.py:337(_prep_values)
   149373    0.018    0.000    0.018    0.000 {method 'copy' of 'dict' objects}
    48665    0.018    0.000    0.064    0.000 contextlib.py:238(helper)
    35089    0.018    0.000    0.118    0.000 _ufunc_config.py:433(__enter__)
        5    0.017    0.003    8.885    1.777 RandomForest.py:41(update_models)
     9018    0.017    0.000    0.027    0.000 _parser.py:83(get_token)
    46513    0.017    0.000    0.017    0.000 {method 'join' of 'str' objects}
     9145    0.017    0.000    0.062    0.000 _asarray.py:221(require)
        5    0.017    0.003    0.017    0.003 BaseStrategy.py:20(<listcomp>)
    11286    0.017    0.000    0.081    0.000 _dtype.py:34(__str__)
    13550    0.017    0.000    0.051    0.000 common.py:218(asarray_tuplesafe)
    29243    0.017    0.000    0.038    0.000 base.py:1182(name)
    75250    0.016    0.000    0.016    0.000 pickle.py:1436(load_tuple1)
   143276    0.016    0.000    0.016    0.000 {method '__enter__' of '_thread.lock' objects}
    47600    0.016    0.000    0.021    0.000 queue.py:212(_put)
    19804    0.016    0.000    0.081    0.000 datetimelike.py:128(equals)
   140356    0.016    0.000    0.016    0.000 {built-in method numpy.geterrobj}
    30555    0.016    0.000    0.063    0.000 blocks.py:207(array_values)
    12635    0.016    0.000    1.189    0.000 indexing.py:864(__getitem__)
     6158    0.016    0.000    0.022    0.000 numerictypes.py:545(_can_coerce_all)
     1424    0.016    0.000    0.020    0.000 {pandas._libs.lib.maybe_convert_objects}
    58488    0.016    0.000    0.208    0.000 missing.py:47(isna)
    95200    0.015    0.000    0.015    0.000 {method 'acquire' of '_thread.lock' objects}
    65188    0.015    0.000    0.061    0.000 extension.py:53(fget)
      594    0.015    0.000   28.423    0.048 true_range.py:6(true_range)
    51373    0.015    0.000    0.019    0.000 common.py:348(is_datetime64_dtype)
    63171    0.015    0.000    0.033    0.000 config.py:610(_warn_if_deprecated)
    43533    0.015    0.000    0.051    0.000 series.py:540(_values)
    52973    0.015    0.000    0.198    0.000 _methods.py:45(_sum)
     3564    0.015    0.000    0.446    0.000 datetimelike.py:363(_format_with_header)
    47600    0.015    0.000    0.047    0.000 parallel.py:219(__exit__)
    47608    0.015    0.000    0.015    0.000 functools.py:64(wraps)
    48883    0.015    0.000    0.051    0.000 series.py:427(dtype)
     3566    0.015    0.000    0.428    0.000 datetimes.py:604(_format_native_types)
   153831    0.015    0.000    0.015    0.000 {method 'items' of 'dict' objects}
   114132    0.015    0.000    0.020    0.000 format.py:393(len)
     4162    0.015    0.000    0.082    0.000 blocks.py:898(putmask)
    10508    0.015    0.000    0.027    0.000 array_ops.py:429(maybe_upcast_for_op)
      952    0.015    0.000   38.693    0.041 RandomForest.py:102(load_frame)
    81750    0.015    0.000    0.019    0.000 pickle.py:1254(load_none)
     5511    0.014    0.000    0.034    0.000 frame.py:2869(__getitem__)
     5994    0.014    0.000    0.207    0.000 generic.py:5558(copy)
     3571    0.014    0.000    0.194    0.000 generic.py:4214(reindex)
     3564    0.014    0.000    0.439    0.000 concat.py:456(get_result)
   112042    0.014    0.000    0.014    0.000 blocks.py:315(dtype)
    59350    0.014    0.000    0.014    0.000 generic.py:365(_get_axis_number)
    23771    0.014    0.000    0.026    0.000 numpy_.py:414(to_numpy)
    57183    0.014    0.000    0.014    0.000 blocks.py:319(iget)
    25140    0.014    0.000    0.133    0.000 <__array_function__ internals>:2(amax)
     3575    0.014    0.000    0.031    0.000 numeric.py:2317(array_equal)
     3564    0.014    0.000    0.067    0.000 datetimelike.py:675(<setcomp>)
    26750    0.013    0.000    0.013    0.000 pickle.py:1440(load_tuple2)
    23221    0.013    0.000    0.021    0.000 datetimelike.py:1764(maybe_infer_freq)
    27500    0.013    0.000    0.032    0.000 pickle.py:1277(load_binint)
     1188    0.013    0.000    0.344    0.000 rolling.py:490(_apply)
    63174    0.013    0.000    0.025    0.000 config.py:598(_translate_key)
     1188    0.013    0.000    0.041    0.000 rolling.py:556(calc)
    48619    0.013    0.000    0.013    0.000 {built-in method builtins.vars}
     2970    0.013    0.000    0.078    0.000 index_tricks.py:634(__init__)
     3564    0.013    0.000    0.135    0.000 datetimelike.py:671(_concat_same_type)
    96154    0.013    0.000    0.013    0.000 {built-in method time.time}
    31412    0.013    0.000    0.013    0.000 fromnumeric.py:71(<dictcomp>)
13751/10187    0.013    0.000    0.116    0.000 {built-in method builtins.all}
    16638    0.013    0.000    0.082    0.000 blocks.py:675(copy)
     3583    0.012    0.000    0.031    0.000 shutil.py:1298(get_terminal_size)
    37049    0.012    0.000    0.015    0.000 common.py:905(is_datetime64_any_dtype)
     1188    0.012    0.000    0.103    0.000 series.py:675(__array_ufunc__)
    14864    0.012    0.000    0.053    0.000 generic.py:5197(_protect_consolidate)
    20275    0.012    0.000    0.018    0.000 blocks.py:2728(_extend_blocks)
     1188    0.012    0.000    0.820    0.001 ema.py:6(ema)
   142800    0.012    0.000    0.012    0.000 parallel.py:275(__len__)
    15142    0.012    0.000    0.193    0.000 expressions.py:217(evaluate)
     4159    0.012    0.000    0.284    0.000 generic.py:1783(__array_wrap__)
     1188    0.012    0.000    0.023    0.000 indexers.py:72(get_window_bounds)
    44443    0.012    0.000    0.088    0.000 base.py:5559(ensure_index)
     3024    0.012    0.000    0.866    0.000 generic.py:3572(_set_item)
     2970    0.012    0.000    0.893    0.000 ewm.py:330(mean)
    25000    0.012    0.000    0.032    0.000 pickle.py:1417(load_short_binbytes)
     2376    0.012    0.000    0.082    0.000 blocks.py:782(setitem)
    16706    0.012    0.000    0.120    0.000 common.py:1180(needs_i8_conversion)
    63174    0.012    0.000    0.012    0.000 config.py:539(_select_options)
     3053    0.012    0.000    0.043    0.000 cast.py:442(maybe_promote)
     4158    0.012    0.000    0.302    0.000 rolling.py:384(_wrap_results)
    94134    0.012    0.000    0.012    0.000 common.py:183(classes_and_not_datetimelike)
    47600    0.012    0.000    0.016    0.000 queue.py:216(_get)
    30555    0.012    0.000    0.012    0.000 numpy_.py:50(__init__)
    19000    0.012    0.000    0.027    0.000 pickle.py:1422(load_short_binunicode)
    26738    0.011    0.000    0.061    0.000 _mixins.py:77(ndim)
     4158    0.011    0.000    0.289    0.000 datetimelike.py:180(take)
    16706    0.011    0.000    0.027    0.000 common.py:1025(is_datetime_or_timedelta_dtype)
     3564    0.011    0.000    0.178    0.000 concat.py:364(concat_datetime)
    66205    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
     3024    0.011    0.000    0.559    0.000 base.py:5237(insert)
     2397    0.011    0.000    0.082    0.000 algorithms.py:1616(take_nd)
    47600    0.011    0.000    0.011    0.000 parallel.py:345(__init__)
     3078    0.011    0.000    0.101    0.000 managers.py:2008(_fast_count_smallints)
    25650    0.011    0.000    0.012    0.000 array_ops.py:404(maybe_upcast_datetimelike_array)
     3564    0.011    0.000    3.380    0.001 series.py:1339(to_string)
    48552    0.011    0.000    0.016    0.000 base.py:1188(isspmatrix)
    10629    0.011    0.000    0.011    0.000 {built-in method numpy.zeros}
    47553    0.011    0.000    0.011    0.000 {built-in method builtins.iter}
     4634    0.010    0.000    0.624    0.000 __init__.py:359(wrapper)
       54    0.010    0.000    0.045    0.001 managers.py:1007(idelete)
     2392    0.010    0.000    0.125    0.000 nanops.py:237(_get_values)
     1917    0.010    0.000    0.012    0.000 datetimes.py:629(_maybe_cast_for_get_loc)
     6010    0.010    0.000    0.032    0.000 datetimelike.py:641(_shallow_copy)
    13306    0.010    0.000    0.010    0.000 blocks.py:287(_slice)
     3586    0.010    0.000    0.112    0.000 format.py:1723(_make_fixed_width)
    48558    0.010    0.000    0.016    0.000 inspect.py:72(isclass)
    18674    0.010    0.000    0.049    0.000 {built-in method builtins.any}
